Route,Cost,Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Pt Chevalier']",1003.3358333333335,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown St Lukes']",933.2543750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Three Kings']",989.0259027777778,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Victoria Street West']",1056.7011111111112,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Metro Albert Street']",910.1940972222224,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Metro Halsey Street']",888.66375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Newmarket']",1010.7302777777778,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Onehunga']",914.0693055555556,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Pt Chevalier']",1009.4660416666666,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown St Lukes']",938.8552083333333,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Metro Albert Street']",944.4079166666667,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Metro Halsey Street']",911.860138888889,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Onehunga']",975.6135416666667,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Ponsonby']",1056.6850694444445,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Pt Chevalier']",1022.587361111111,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown St Lukes']",978.9838194444443,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Three Kings']",1009.0161111111113,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Victoria Street West']",1064.7425694444446,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Metro Albert Street']",905.0088194444444,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Metro Halsey Street']",884.42125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Ponsonby']",1088.8402083333333,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Pt Chevalier']",1042.2743055555557,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown St Lukes']",976.8074999999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Three Kings']",970.8270138888889,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Victoria Street West']",1117.2622222222221,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Metro Albert Street']",929.0613888888889,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Metro Halsey Street']",905.011875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown St Lukes']",1016.964375,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown Metro Albert Street']",950.1531249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown Metro Halsey Street']",925.7644444444444,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Countdown St Lukes']",954.4110416666666,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Countdown Metro Albert Street']",917.0202083333334,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Countdown Metro Halsey Street']",887.2950000000001,Central Region
